state_name,state,county_name,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,pooled_pooled_count,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se,white_pooled_count,black_pooled_count,hisp_pooled_count,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se,pooled_male_count,pooled_female_count,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se,white_male_count,black_male_count,hisp_male_count,white_female_count,black_female_count,hisp_female_count
Texas,48,Guadalupe County,187,31301.0,San Antonio,0.41176385,0.0036719942,0.030188834,0.0027243602,12922.901,0.36343834,0.012752359,0.40314594,0.0048785727,0.47135496,0.0062870258,0.047569424,0.012115183,0.035661731,0.0036566074,0.016604744,0.0033430285,4450.9482,766.73151,7523.7793,0.42214733,0.0051903962,0.40196732,0.0051699239,0.0044329949,0.0013426315,0.056783553,0.0057017617,6643.9971,6277.8643,0.36786488,0.016067378,0.41398937,0.0066809589,0.477878,0.0089734048,0.35804799,0.018449912,0.39239794,0.006890066,0.46375641,0.0086837178,0.010670004,0.00705569,0.0035510864,0.00089447072,0.0061330516,0.0029433137,0.089933425,0.021941548,0.070585795,0.0078509422,0.025361769,0.0055094189,2335.7385,390.06097,3857.4634,2115.0503,374.07925,3669.6274
Texas,48,Hale County,189,30908.0,Plainview,0.40487853,0.0048079635,0.036883071,0.0044999607,7977.6899,0.33722699,0.014058637,0.40435627,0.0056109838,0.49106073,0.010801368,0.10008129,0.022629237,0.04034191,0.0040173125,0.012991736,0.0046608434,1583.8057,532.70728,5985.5015,0.40169188,0.0067264,0.40753904,0.0069325347,0.0061772009,0.0020326748,0.070174821,0.0083092898,4109.833,3868.1436,0.37562439,0.016812155,0.39694569,0.0078073121,0.49167559,0.015085879,0.30541515,0.021067671,0.41530293,0.0077036009,0.49043876,0.015542334,-0.0049364106,0.0050657247,0.0062265331,0.0016197235,0.0033804032,0.0027237686,0.20257898,0.047029413,0.074527405,0.010782675,0.023207672,0.0089607546,808.08075,265.86026,3081.8784,775.6983,266.15543,2903.5588
Texas,48,Hall County,191,30906.0,Memphis,0.44830352,0.017666006,0.01529203,0.0088902507,846.08862,0.2836695,0.040577203,0.43825069,0.024078811,0.52865517,0.028086396,,,0.00038754189,0.0059800814,0.010941285,0.010317747,318.14313,100.11747,426.05661,0.43087032,0.024598423,0.46537098,0.023904392,0.0023245383,0.0055892072,0.032992486,0.01718791,444.15536,401.66141,,,0.40814972,0.032420319,0.51896805,0.042882364,,,0.47443342,0.03786568,0.53700465,0.035860263,,,0.0041039325,0.0094453068,-0.00033051544,0.010704369,,,0.0071222526,0.015008477,0.00077539537,0.0085543357,168.69748,,216.56615,149.44479,,209.94989
Texas,48,Hamilton County,193,32702.0,Stephenville,0.4526138,0.013552746,0.0094532426,0.004725114,1216.0345,,,0.4408485,0.031182017,0.46902442,0.015305627,,,0.013170766,0.012561425,0.0097651025,0.0053548547,992.9295,,201.62625,0.46858686,0.018852834,0.43611482,0.018800393,7.8368445e-05,0.0016646852,0.022579921,0.011622848,612.27814,599.75262,,,0.44542408,0.041904833,0.49248156,0.021237096,,,0.42970172,0.048129465,0.44754311,0.021246271,,,0.0097581027,0.014142817,0.0004497483,0.0026579876,,,0.039846361,0.037188169,0.017506745,0.010553053,506.29437,,105.18593,482.9556,,94.820686
Texas,48,Hansford County,195,31005.0,Perryton,0.48489514,0.01676034,0.0061917133,0.0024822918,947.75616,,,0.49023443,0.025225244,0.54117012,0.022938684,,,0.012911994,0.0093811415,-0.00045586494,0.0035792929,396.27188,,561.13617,0.50173849,0.024170611,0.47154933,0.02268319,0.0020934599,0.0034948124,0.014052977,0.010713167,466.41022,481.81696,,,0.47553018,0.035559878,0.58898407,0.03370963,,,0.49965933,0.035864282,0.50175923,0.031771518,,,-0.0023001309,0.0047163041,-0.013437437,0.0045729713,,,0.026616033,0.018914592,0.0060325414,0.0053099827,191.87755,,302.26785,204.6633,,259.32819
Texas,48,Hardeman County,197,32604.0,Vernon,0.4525106,0.01613467,0.013132554,0.0067325169,801.93066,0.30328059,0.046231929,0.43428168,0.02506743,0.50619781,0.02171501,0.027631579,0.045155123,0.0052943644,0.0052781445,-0.0010599971,0.0027122512,453.43088,66.503517,247.37709,0.45916563,0.022964431,0.44682717,0.023234155,0.0014931514,0.003158048,0.025694469,0.013945629,397.50699,403.3074,,,0.46706003,0.036323354,0.49103788,0.029857373,,,0.38864288,0.035985861,0.51578057,0.032471515,,,-0.00097357424,0.0061891326,0.0015690326,0.0049581034,,,0.020003146,0.019641649,-0.0037407049,0.0060545062,210.40497,,123.81965,243.14615,,122.73742
Texas,48,Hardin County,199,32100.0,Beaumont,0.45513985,0.0064086732,0.026312942,0.0043276339,5542.1431,0.35035896,0.015252036,0.41890407,0.030971706,0.48739198,0.0073624509,0.067405917,0.018204307,-0.00052968616,0.0029860428,0.018750982,0.0041907905,4358.6147,867.76172,183.55284,0.45374763,0.009112983,0.45619798,0.008830402,0.0018662006,0.00090115605,0.052038085,0.0087594278,2906.6201,2635.0107,0.35514459,0.019570751,0.42667747,0.049449921,0.48609972,0.010480794,0.34562579,0.023072954,0.40841836,0.040377874,0.48943135,0.010123355,-0.00047089244,0.0035450913,0.001438603,0.0038707138,0.0028549952,0.0018052523,0.14698334,0.039054975,0.0019076455,0.0044826725,0.034515582,0.0077649946,2260.3411,446.22345,115.01964,2098.6128,418.92233,67.770164
Texas,48,Harris County,201,32000.0,Houston,0.41847333,0.00066495256,0.029771401,0.00049520284,535601.31,0.33561978,0.0010401775,0.46291128,0.0010319372,0.48209572,0.0015458824,0.059035264,0.0012140294,0.016986985,0.00045248689,0.028569905,0.0011617421,82948.188,145532.42,300175.28,0.43429685,0.00096007745,0.40336588,0.00094219641,0.0049026697,0.00024142631,0.056287061,0.00095855584,273640.25,261943.75,0.35862163,0.0013786403,0.47063434,0.0014290753,0.4990232,0.0021213887,0.31167248,0.0014631031,0.45536453,0.001412043,0.46559927,0.0021849941,0.0097395247,0.00064146658,0.0015406545,2.7775211e-05,0.006848753,0.00078087527,0.11534172,0.0024608197,0.033129685,0.0010533804,0.050716039,0.0023226107,42244.805,73547.781,154363.47,40700.98,71957.836,145810.91
Texas,48,Harrison County,203,33400.0,Longview,0.39470598,0.0044972789,0.042991016,0.0041071945,9797.5918,0.33432975,0.0060016098,0.43891907,0.018549856,0.46116185,0.0069741001,0.059980918,0.0071576661,0.03786581,0.012878546,0.024246074,0.0046259398,4741.9814,3589.8083,1054.5417,0.39736,0.0061977236,0.39137369,0.0063914242,0.0062038233,0.0021112459,0.083297104,0.0081387786,5015.1689,4781.8721,0.34357965,0.0074119447,0.49217203,0.027330814,0.45390609,0.0097565707,0.32460231,0.0091323685,0.39980248,0.02326691,0.46793959,0.010014579,0.0030184463,0.001984736,-0.0017697695,0.0030094592,0.010163143,0.0035337813,0.12838234,0.015119761,0.074659631,0.033453297,0.038817558,0.0081019346,2406.0095,1866.0909,545.86609,2336.699,1722.4313,508.12894
Texas,48,Hartley County,205,31007.0,Dumas,0.53914273,0.022700446,0.02877382,0.016581403,410.74582,,,0.6000039,0.051149901,0.54292786,0.025059445,,,0.012061846,0.019117279,0.037900072,0.019011345,331.72412,,88.161148,0.56063998,0.032978501,0.52420843,0.033925537,0.039743189,0.01728389,0.018853502,0.016136553,230.21954,184.52815,,,0.56184131,0.067217752,0.57950151,0.035594717,,,,,0.5187884,0.03570883,,,0.0042962432,0.017976951,0.049455047,0.018923746,,,,,0.025826506,0.022012519,193.43123,,,142.18712,,45.969154
